emotion,song,artist,youtube_link
happy,Unakkul Naane X Pookal Pookum Lofi,eternaL (Tamil Lofi),https://www.youtube.com/watch?v=7za4XglMtAg
happy,Deep Focus Lofi Chill,Chill Village (English Lofi),https://www.youtube.com/watch?v=vkQcpY3T8T4
happy,Lofi Island Vibes,Chill Village (English Lofi),https://www.youtube.com/watch?v=wNFYD7syoSQ
sad,Po Nee Po (Tamil Lofi Flip),Anirudh Ravichander (Lofi),https://www.youtube.com/watch?v=FPpaBN_Go_I
sad,The Night We Met (English Lofi),Lord Huron (Lofi),https://www.youtube.com/watch?v=WxA-agYHG4w
sad,Fix You (English Lofi),Coldplay (Lofi),https://www.youtube.com/watch?v=T42VNg6KhWo
angry,Tamil Lofi Vol 3 Mix,eternaL (Tamil Lofi),https://www.youtube.com/watch?v=d8aNij4hmMM
angry,Numb Lofi Cover,Linkin Park (Lofi Cover),https://www.youtube.com/watch?v=2ojMshIhLmw
angry,Resonance Home,HOME,https://www.youtube.com/watch?v=8GW6sLrK40k
fear,Calming Binaural Beats,Binaural Focus,https://www.youtube.com/watch?v=n4YghVcjbpw
fear,Anxiety Relief Ambient,Zen Garden (English Lofi),https://www.youtube.com/watch?v=cqMvPh0nK20
fear,Vellai Pookal Piano Cover,A.R. Rahman (Tamil Cover),https://www.youtube.com/watch?v=XOx8h4Y_YYM
neutral,Munbe Vaa Lofi,eternaL (Tamil Lofi),https://www.youtube.com/watch?v=-s27asxWaTc
neutral,Gymnopedie No 1 Lofi,Erik Satie (Lofi Cover),https://www.youtube.com/watch?v=erOj5YGMwPQ
neutral,Weightless Ambient,Marconi Union,https://www.youtube.com/watch?v=UfcAVejslrU
surprise,Energetic Electro Study,Electro Beats,https://www.youtube.com/watch?v=OPf0YbXqDm0
surprise,Synthwave Drive Study,Synthwave Beats,https://www.youtube.com/watch?v=4xDzrJKXOOY
surprise,Rowdy Baby Lofi Cover,Dhanush & Dhee (Tamil Cover),https://www.youtube.com/watch?v=Avvm--cOSUo
disgust,Deep Focus Brown Noise,Calm Study Masking,https://www.youtube.com/watch?v=kSqnmUCDGd0
disgust,Dark Lofi Beats,Dark Focus,https://www.youtube.com/watch?v=gXI_4AhTRvs
disgust,Chillout Study Beats,Ambient Focus,https://www.youtube.com/watch?v=UfcAVejslrU
joy,Unakkul Naane X Pookal Pookum Lofi,eternaL (Tamil Lofi),https://www.youtube.com/watch?v=7za4XglMtAg
joy,Deep Focus Lofi Chill,Chill Village (English Lofi),https://www.youtube.com/watch?v=vkQcpY3T8T4
joy,Lofi Island Vibes,Chill Village (English Lofi),https://www.youtube.com/watch?v=wNFYD7syoSQ
sadness,Po Nee Po (Tamil Lofi Flip),Anirudh Ravichander (Lofi),https://www.youtube.com/watch?v=FPpaBN_Go_I
sadness,The Night We Met (English Lofi),Lord Huron (Lofi),https://www.youtube.com/watch?v=WxA-agYHG4w
sadness,Fix You (English Lofi),Coldplay (Lofi),https://www.youtube.com/watch?v=T42VNg6KhWo
anger,Tamil Lofi Vol 3 Mix,eternaL (Tamil Lofi),https://www.youtube.com/watch?v=d8aNij4hmMM
anger,Numb Lofi Cover,Linkin Park (Lofi Cover),https://www.youtube.com/watch?v=2ojMshIhLmw
love,Unakkul Naane X Pookal Pookum Lofi,eternaL (Tamil Lofi),https://www.youtube.com/watch?v=7za4XglMtAg
love,Deep Focus Lofi Chill,Chill Village (English Lofi),https://www.youtube.com/watch?v=vkQcpY3T8T4
love,Lofi Island Vibes,Chill Village (English Lofi),https://www.youtube.com/watch?v=wNFYD7syoSQ
